47.4,47.48,47.13,47.3,43.81,45.26
46.49,47.48,46.25,47.46,43.96,
44.56,46.53,43.9,46.49,42.53,
42.89,45.1,41.75,44.31,40.54,
42.07,43.32,42.06,42.63,39,
43.4,43.5,41.25,42.06,37.97,
43.17,43.98,42.14,43.66,39.41,
44.08,44.63,42.18,43.25,39.04,
42.81,45.28,42.15,43.82,39.05,
42.05,42.93,41.28,42.68,38.04,
41.2,42.23,40.76,41.98,37.41,
39.94,41.35,39.75,41.22,36.26,
40.13,40.49,39.34,40.02,35.2,
40.54,41.77,39.36,39.94,35.13,
40.88,40.98,39.12,40.54,35.2,
43,43,40.06,40.88,35.49,
39.89,42.5,39.6,42.47,36.87,
39.25,40,38.85,40,34.29,
39,39.87,38.02,39.51,33.87,
39.13,39.39,37.5,39.29,33.68,
36.68,39.65,34.99,39.38,33.31,
37.97,38.58,36.26,36.46,30.84,
39.03,39.03,36.88,37.82,31.99,
35.46,39.28,35.38,39,32.54,
35.12,35.85,35.07,35.46,29.59,
35.75,36,33.75,35.22,29.39,
36.53,36.74,35.3,36.02,29.63,
35.58,36.45,35.09,36.37,29.92,
35,36.25,34.9,35.34,29.08,
34.32,35.13,32.64,34.71,28.19,
33.4,35.04,32.94,34.21,27.79,
