42.78,42.78,41.76,41.95,40.47,6.73
46.23,46.69,41.23,42.52,41.02,
44.55,49.85,44.55,46.62,44.74,
40.9,45.49,40.49,44.55,42.75,
39.19,41.59,36.79,40.32,38.69,
40.49,43.8,38.61,39.4,37.81,
37.95,40.4,36.88,40.23,38.4,
35.09,39.47,34.36,37.95,36.22,
39.86,40.45,35,35,33.41,
38.11,40.45,37.81,39.56,37.54,
37.48,41.82,36.52,38.14,36.19,
37.3,40.22,35.85,38.14,36.19,
40.14,40.92,34.92,37.14,35.03,
37.48,42.74,37.48,39.93,37.46,
51.92,54,36.56,37.4,35.09,
51.28,55.95,51.27,51.63,48.43,
50.47,52.88,46.59,51.08,47.92,
48.91,52.56,46.56,50,46.91,
43.5,52.4,38.51,50.09,46.8,
52.67,52.9,42.06,44.03,41.14,
54.13,54.61,47,52.38,48.94,
58.99,59.97,52.72,54.01,50.25,
56.94,59.1,51.93,58.88,54.79,
57.1,58.4,53.11,57.03,53.06,
55.45,57.25,53,57.24,53.06,
55.62,57.6,52.8,55.24,51.2,
58.89,62.56,54.85,56.24,51.93,
59.8,63.23,58.34,58.67,54.17,
55.46,60,54.91,59.77,55.19,
52.1,56.1,51.85,54.81,50.61,
52.48,55.08,51.19,52.1,47.95,
